title,episodes,released_date,end_date,producer_id,rating,studio
Ougon Bat,3,2008-07-28,2016-12-07,15,0.47,Kyoto Animation 
Project A-Ko 2: Daitokuji Zaibatsu no Inbou,TV,2007-05-06,2016-10-15,4,7.27,Magic Bus
Queen s Blade: Gyokuza wo Tsugu Mono,11,2005-01-07,2016-04-06,12,1.13,P.A.Works
Saber Marionette R,6,1998-03-05,2016-08-10,3,4.01,Studio Live
Sasuga no Sarutobi,16,1996-03-10,2016-06-10,13,7.04,Nippon Animation
Shin Ace wo Nerae!,21,1996-11-26,2016-10-03,16,1.39,Magic Bus
Shin Cutey Honey,15,2006-08-15,2016-05-17,17,0.64,Imagin 
Shin Koihime†Musou: Live Revolution,TV,2000-08-16,2016-04-28,14,9.17,Studio Gokumi
Shounan Bakusouzoku,OVA,2007-10-18,2016-08-14,26,6.68,Studio Ghibli
The Hakkenden: Shin Shou,10,2014-04-27,2017-05-28,4,1.95,Nippon Animation
Time Bokan,Movie,2005-06-15,2016-04-14,3,1.93,Imagin 
Tondemo Senshi Muteking,46,2008-11-08,2016-09-18,16,0.91,Imagin 
Tono to Issho: Gantai no Yabou,13,2005-05-23,2016-08-21,25,6.19,Anime International Company Inc.
Toushi Gordian,Movie,2006-11-01,2016-08-23,2,9.71,Magic Bus
Tsuyokiss,17,2009-10-15,2016-01-24,24,1.27,Studio Ghibli
Usavich Special,3,2004-10-22,2016-04-19,12,6.01,Studio Gokumi
Yami to Boushi to Hon no Tabibito,0,2013-07-09,2016-07-07,8,2.8,GoHands
Akihabara Dennou-gumi,OVA,2014-11-25,2018-12-20,4,1.38,Nippon Animation
Alps no Shoujo Heidi: Heidi to Clara-hen,37,2008-05-11,2016-04-09,1,4.83,Imagin 
Bakuretsu Hunters OVA,Movie,2000-08-26,2016-12-11,27,1.87,Magic Bus
Bannou Bunka Neko-Musume Specials,19,2012-04-16,2016-01-21,25,2.95,Kyoto Animation 
Battle Spirits: Heroes,OVA,1997-07-08,2016-12-16,16,2.25,Pierrot 
Blue Seed 1.5,32,2007-05-08,2016-06-13,3,2.11,Studio Ghibli
Bomberman B-Daman Bakugaiden,TV,2011-07-26,2016-10-25,22,9.19,Studio Hibari
Choujuu Kishin Dancougar: God Bless Dancougar,46,2009-08-24,2016-05-27,2,7.35,Anime International Company Inc.
Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza,23,2007-01-28,2016-01-11,13,8.22,Studio Ghibli
Cutey Honey F,Movie,2015-06-26,2016-01-17,20,3.72,Studio Gokumi
Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!,Movie,2001-10-20,2016-05-08,30,6.41,Studio Live
Dirty Pair Flash 3,30,1996-05-26,2016-12-14,6,4.9,Mushi Production
Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima,42,2012-07-04,2017-11-02,11,0.25,Studio Ghibli
Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou,46,2013-08-02,2016-10-13,30,7.25,Studio Nue
Dragon Ball GT,33,1996-01-03,2016-05-24,25,4.88,Anime International Company Inc.
Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,OVA,2016-07-24,2018-08-05,28,5.83,Imagin 
Duel Masters Cross,TV,2015-02-01,2018-03-22,14,8.41,Mushi Production
Entaku no Kishi Monogatari: Moero Arthur,41,2015-12-03,2019-04-21,16,5.1,GoHands
Genji Monogatari,34,1996-01-20,2016-09-26,19,0.82,Magic Bus
Ghost in the Shell: Arise - Another Mission,OVA,2004-07-23,2016-09-19,28,4.29,Magic Bus
Golgo 13: Queen Bee,29,1998-08-28,2016-04-02,11,3.46,Mushi Production
Hanaukyou Maid-tai,OVA,2011-03-07,2016-01-03,20,1.22,Mushi Production
Harukanaru Toki no Naka de: Hachiyou Shou OVA,32,2002-08-12,2016-10-23,11,1.32,Magic Bus
Hibike! Euphonium: Suisougaku-bu no Nichijou,42,1999-06-26,2016-02-06,15,8.89,Nippon Animation
Hidamari Sketch: Chou Hidamatsuri Special,OVA,2012-01-14,2016-04-06,12,6.59,P.A.Works
Inugami-san to Nekoyama-san,7,2011-08-17,2016-05-18,9,7.59,Studio Hibari
Juushin Liger,25,2010-10-23,2016-07-20,12,4.49,P.A.Works
K: Missing Kings - Manner Movie,OVA,2008-01-26,2016-10-10,3,2.49,Imagin 
Kamui no Ken,TV,2001-07-02,2016-01-27,27,8.05,Kyoto Animation 
M3: Sono Kuroki Hagane,13,2010-04-04,2016-10-20,14,7.08,Mushi Production
Macross F: Choujikuu Gekijou,45,2016-04-18,2018-09-16,10,6.97,Magic Bus
Metal Fight Beyblade,OVA,1997-07-16,2016-01-18,7,5.54,Kyoto Animation 
Mobile Police Patlabor: MiniPato,25,2015-05-26,2016-04-08,25,9.98,Studio Ghibli
Naisho no Tsubomi,Movie,2004-12-13,2016-05-16,11,2.55,Pierrot 
Nils no Fushigi na Tabi (Movie),22,2002-05-27,2016-05-21,6,4.82,Studio Live
Nobunaga no Shinobi Episode 0,Movie,2009-05-26,2016-07-08,15,4.42,Studio Live
One Pound Gospel,OVA,2000-09-27,2016-08-21,9,4.35,Nippon Animation
Pokemon: Odoru Pokemon Himitsu Kichi,3,2001-06-19,2016-11-11,5,7.98,Nippon Animation
Sakura Taisen: Ouka Kenran,TV,2015-10-04,2020-08-07,18,9.12,Anime International Company Inc.
Seton Doubutsuki: Kuma no Ko Jacky,OVA,2009-08-22,2016-12-23,17,5.19,Imagin 
Telepathy Shoujo Ran,10,2013-07-25,2018-11-25,11,6.96,Studio Ghibli
Tentai Senshi Sunred: Short Corner,Movie,2012-03-18,2016-10-23,4,9.53,Studio Live
Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning,39,2008-02-09,2016-11-11,1,1.62,GoHands
Tottoko Hamtarou OVA 1: Hamtaro no Otanjoubi - Mama wo Tasunete Sanzen Techi Techi,Movie,2004-01-04,2016-05-07,29,1.34,GoHands
Transformers: Car Robots,0,2008-10-21,2016-02-06,1,5.64,Anime International Company Inc.
Turn A Gundam I Movie: Earth Light,OVA,2016-04-19,2017-07-26,11,0.29,Studio Ghibli
Uchuu Taitei God Sigma,4,2004-03-02,2016-05-07,13,5.93,Studio Hibari
Video Senshi Lezarion,8,2010-11-25,2016-06-23,19,3.2,Studio Ghibli
Weiß Kreuz Glühen,32,2011-12-05,2016-06-08,28,9.4,P.A.Works
Yaoguai Mingdan,34,2012-03-10,2017-08-07,10,7.94,Studio Ghibli
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",TV,2013-05-12,2016-01-27,10,8.96,Studio Ghibli
.hack//Intermezzo,TV,2012-10-23,2017-10-08,13,2.97,Studio Ghibli
Akai Ito,45,2001-08-14,2016-05-09,19,0.27,Anime International Company Inc.
Alien 9,TV,2004-12-09,2016-12-08,3,2.34,P.A.Works
Ashita e Free Kick,OVA,2015-11-20,2018-12-07,2,9.49,Imagin 
Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,Movie,2014-12-12,2016-07-25,10,6.38,Pierrot 
Burn Up Excess,40,2015-06-27,2016-06-13,5,2.77,Studio Hibari
Chouyaku Hyakuninisshu: Uta Koi. - Sake to Kikoushi ~ Murasaki Kishikibu to Kintou,15,2013-09-27,2017-02-22,9,3.69,P.A.Works
Dance with Devils,TV,2016-01-04,2020-01-13,14,2.81,Pierrot 
Galactic Patrol Lensman,OVA,2000-08-01,2016-04-17,15,1.51,Studio Ghibli
Gekiganger 3: The Movie,17,1997-05-25,2016-08-01,8,0.2,Studio Gokumi
Ginga Shippuu Sasuraiger,44,2010-05-09,2016-03-04,7,7.21,Anime International Company Inc.
Hakuouki: Otogisoushi,Movie,1998-02-16,2016-12-05,14,1.61,Studio Ghibli
Hikari no Megami,8,2008-06-17,2016-10-12,24,6.35,Kyoto Animation 
Jagainu-kun,8,1998-08-23,2016-01-22,17,5.52,Imagin 
Kero Kero Chime,7,1998-11-08,2016-06-23,5,9.61,Studio Nue
Kishin Houkou Demonbane (TV),9,2011-09-18,2016-03-28,14,5.19,GoHands
Kurogane no Linebarrels Specials,18,1998-09-19,2016-06-08,18,2.46,Studio Live
Kurokami: Intermission,Movie,2014-07-20,2018-03-20,27,1.41,Studio Hibari
Kyousou Giga (TV) Recaps,4,2014-05-19,2019-01-21,5,3.85,Studio Hibari
Massugu ni Ikou.,Movie,2008-02-19,2016-09-18,20,6.29,GoHands
Master Mosquiton 99,8,2014-10-02,2016-03-04,27,5.4,Studio Hibari
Natsu-iro no Sunadokei,OVA,2007-10-23,2016-02-27,11,3.78,Mushi Production
Nijiiro Days OVA,28,1999-04-25,2016-03-05,26,8.6,Studio Gokumi
Pokemon: Pika Pika Hoshizora Camp,21,2003-03-11,2016-11-17,29,5.62,Studio Gokumi
Puchimas!: Petit iDOLM@STER - Takatsuki Gold Densetsu Special!! Haruka-san Matsuri,33,2002-01-18,2016-11-08,19,1.95,Mushi Production
Qualidea Code,19,2001-09-28,2016-09-24,8,1.07,Nippon Animation
Sengoku Otome: Momoiro Paradox,34,2011-08-24,2016-04-25,14,7.96,Mushi Production
Seton Doubutsuki: Risu no Banner,Movie,2007-09-25,2016-04-01,2,5.96,Studio Live
Shakugan no Shana: Friagne to Marianne no Naze Nani Shana! Nandemo Shitsumonbako! 2,34,2011-01-15,2016-10-27,18,3.25,Studio Hibari
Shugo Chara! Party!,42,2008-12-06,2016-06-25,12,3.12,Anime International Company Inc.
Taiho Shichau zo in America,TV,2006-11-01,2016-03-24,29,0.24,Studio Hibari
Teekyuu 2 Specials,39,2012-10-11,2016-06-12,15,4.36,Imagin 
Tokkou,30,2016-08-08,2018-07-16,28,6.77,Nippon Animation
Touka Gettan,13,2000-11-15,2016-11-26,27,1.18,Studio Live
Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro,TV,2009-11-21,2016-09-18,27,3.07,Studio Live
Windaria,TV,2013-06-26,2016-07-24,5,3.51,Nippon Animation
Yokuwakaru Gendaimahou 00,OVA,1999-10-02,2016-04-14,19,6.89,Studio Live
Yuusha Exkaiser,27,1996-01-27,2016-05-15,20,9.21,Studio Ghibli
Bomberman B-Daman Bakugaiden V,33,2003-03-19,2016-07-19,6,9.65,Studio Nue
Di Gi Charat Summer Special 2000,43,1996-11-17,2016-07-23,15,5.91,Anime International Company Inc.
Eat-Man,Movie,1997-12-09,2016-12-10,13,7.11,Studio Nue
Fushigi Mahou Fun Fun Pharmacy,TV,2006-11-10,2016-12-06,6,6.33,Anime International Company Inc.
Gall Force 1: Eternal Story,36,2010-09-18,2016-12-23,13,5.2,Pierrot 
Grenadier: Hohoemi no Senshi Specials,OVA,1996-04-08,2016-03-05,10,2.33,Pierrot 
Hana no Mahoutsukai Mary Bell,OVA,2013-07-04,2018-02-06,17,7.68,Magic Bus
Narue no Sekai,TV,2016-07-05,2017-04-04,15,7.18,Studio Nue
NG Knight Ramune &amp  40 DX: Wakuwaku Jikuu - Honoo no Daisousasen,TV,2001-09-09,2016-03-02,11,1.35,Pierrot 
Ojisan to Marshmallow,46,2005-03-14,2016-02-16,2,2.0,Studio Gokumi
Onkyo Seimeitai Noiseman,OVA,2012-01-09,2016-01-16,29,8.39,Mushi Production
Otogi Juushi Akazukin OVA,15,2006-04-19,2016-07-25,13,5.34,Mushi Production
Pokemon: Meloetta no Kirakira Recital,OVA,2015-07-06,2016-07-09,9,2.01,Pierrot 
Pokemon: Pikachu no Fuyuyasumi,Movie,2010-03-03,2016-02-09,24,3.56,Studio Nue
Precure All Stars Movie: Haru no Carnival♪ - Ima Koko kara,Movie,1998-09-20,2016-12-04,25,4.36,Pierrot 
Puchimas!: Petit iDOLM@STER Episode 0,10,2014-07-26,2016-01-21,21,8.64,Magic Bus
R-15,OVA,2008-06-09,2016-09-15,28,3.09,Studio Hibari
Ring ni Kakero 1,16,2004-10-17,2016-06-22,7,6.91,Studio Nue
Romeo no Aoi Sora Specials,Movie,2012-08-20,2016-05-20,1,7.36,P.A.Works
Sansha Sanyou Specials,7,2007-12-26,2016-12-14,18,9.17,Mushi Production
To Heart,OVA,1999-09-09,2016-08-10,17,0.96,GoHands
Trava: Fist Planet,14,2012-04-11,2016-05-26,18,9.83,Mushi Production
UFO Robo Grendizer: Akai Yuuhi no Taiketsu,46,2001-01-21,2016-05-10,22,3.43,Studio Hibari
Viva Namida,6,2012-12-08,2016-12-04,18,5.31,Studio Hibari
12-sai.: Chicchana Mune no Tokimeki,OVA,2001-03-17,2016-01-11,27,2.48,Studio Nue
Akaneiro ni Somaru Saka,OVA,2004-07-01,2016-08-12,7,5.35,Magic Bus
Anemone,OVA,1999-02-09,2016-12-13,19,0.34,P.A.Works
Atarashii Sekai,14,1996-01-11,2016-10-21,9,5.32,Magic Bus
Bannou Bunka Neko-Musume (1998),21,2004-07-03,2016-05-01,24,5.5,Studio Hibari
Beast Wars Neo,31,2003-09-20,2016-11-08,1,5.93,Studio Hibari
Candy Candy: Haru no Yobigoe,4,2006-05-28,2016-10-28,6,1.32,Pierrot 
Final Approach,20,2003-01-28,2016-10-24,16,7.94,Studio Live
Girls Bravo: First Season,Movie,2002-04-03,2016-10-19,5,1.18,Magic Bus
Girls und Panzer: Nihon Senshadou Renmei News,Movie,2014-04-13,2018-02-01,17,7.07,Studio Ghibli
Glass no Kantai: La Legende du Vent de l Univers,OVA,2004-11-27,2016-03-01,25,3.55,Pierrot 
Guitar wo Motta Shounen: Kikaider vs. Inazuman,7,2008-05-14,2016-10-02,28,1.19,Magic Bus
Joshikousei: Girl s High,Movie,2001-03-08,2016-04-06,9,6.64,Studio Gokumi
Jumping,OVA,1998-11-06,2016-09-12,17,7.38,Pierrot 
Jungle Taitei,46,2005-12-03,2016-11-01,17,6.44,Studio Hibari
Karakuri no Kimi,OVA,1999-10-10,2016-12-23,10,7.12,Anime International Company Inc.
Kämpfer für die Liebe,Movie,2003-05-16,2016-02-07,5,1.79,Pierrot 
Kore ga Watashi no Goshujinsama,OVA,1999-07-01,2016-04-04,29,1.35,GoHands
Kyoushirou to Towa no Sora,OVA,2014-05-27,2018-02-06,8,8.86,Nippon Animation
Maken-Ki!,OVA,2003-08-02,2016-03-18,27,1.24,Imagin 
Miracle☆Train: Oedo-sen e Youkoso,19,2013-06-19,2016-05-17,17,2.94,Kyoto Animation 
Mori no Densetsu,Movie,1999-03-28,2016-07-17,5,6.41,Magic Bus
Morita-san wa Mukuchi,13,2000-09-23,2016-04-12,4,4.65,GoHands
Mouse and His Child,33,1999-09-26,2016-08-21,21,2.22,Kyoto Animation 
Mushrambo (2008),Movie,2000-03-04,2016-07-26,16,2.1,Kyoto Animation 
Parasite Dolls,36,2013-11-02,2016-09-08,25,3.96,Studio Ghibli
Psychoarmor Govarian,36,2002-05-19,2016-09-03,11,4.16,Studio Ghibli
RDG: Red Data Girl,Movie,2014-02-24,2016-08-16,30,0.56,Imagin 
RESTOL: Special Rescue Team,TV,2002-12-21,2016-06-25,28,2.67,Mushi Production
Rewrite,16,2016-06-28,2017-07-04,2,3.31,Mushi Production
Seikon no Qwaser II,0,2016-04-03,2020-10-09,1,8.2,P.A.Works
Soukou Kihei Votoms: Case  Irvine,Movie,2003-01-17,2016-06-27,15,8.76,Pierrot 
Star Ocean EX,38,2010-09-06,2016-11-17,25,7.78,Studio Gokumi
Street Fighter Zero The Animation,3,2013-07-01,2016-07-26,19,8.83,GoHands
Teekyuu 3 Specials,4,2004-12-17,2016-10-05,23,2.36,Studio Nue
Transformers Headmasters,Movie,1999-05-19,2016-02-03,7,5.71,Nippon Animation
Trouble Chocolate,7,1997-04-01,2016-09-27,14,0.84,Nippon Animation
Tsuki no Waltz,44,2006-10-25,2016-06-26,22,6.93,Studio Gokumi
Yoroshiku Mechadock,Movie,2003-03-02,2016-06-22,3,3.22,Studio Nue
Yume no Hoshi no Button Nose,31,1997-10-16,2016-10-12,15,8.49,Studio Hibari
Yumedamaya Kidan,TV,2003-11-07,2016-01-26,2,6.43,Studio Hibari
Amon: Devilman Mokushiroku,8,1997-07-03,2016-07-18,20,8.78,Pierrot 
Appleseed XIII Remix Movie 2: Yogen,Movie,2016-02-10,2020-02-20,27,0.82,Imagin 
Arata Kangatari,OVA,2012-01-06,2016-02-24,27,6.41,Studio Nue
Brave Witches,16,1998-07-03,2016-09-23,1,4.08,Anime International Company Inc.
Busou Shinki Moon Angel,OVA,2003-10-03,2016-09-20,10,8.27,Studio Nue
Chargeman Ken!,TV,2010-11-08,2016-03-04,6,4.79,Studio Gokumi
Comic Party,19,2001-05-17,2016-01-06,18,0.26,Studio Hibari
Comic Party Revolution,Movie,2002-02-24,2016-03-05,26,4.29,Imagin 
Cosmo Warrior Zero,Movie,2007-01-26,2016-08-08,16,4.62,Pierrot 
Cutey Honey,3,2003-09-28,2016-12-20,13,5.15,Anime International Company Inc.
Detonator Orgun,15,2005-02-10,2016-11-11,8,2.12,Pierrot 
Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,17,2011-04-13,2016-04-03,2,5.19,Studio Nue
Fake,10,2011-05-21,2016-01-20,21,4.18,Studio Gokumi
Ghost in the Shell Arise Episode: [.jp],Movie,2015-10-23,2018-03-23,28,4.74,Anime International Company Inc.
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,47,1996-01-23,2016-07-05,9,0.58,Anime International Company Inc.
Haikyuu!! Quest Picture Drama,2,2011-04-17,2016-04-04,13,9.56,Magic Bus
Hyakka Ryouran: Samurai Bride Specials,Movie,2002-08-17,2016-02-26,14,4.7,Anime International Company Inc.
iDOLM@STER Xenoglossia,31,2003-07-27,2016-04-10,4,2.87,Studio Nue
Inu to Hasami wa Tsukaiyou,OVA,2002-09-26,2016-04-28,8,5.96,Studio Hibari
Kakumei no Wakaki Sora,27,2005-08-28,2016-11-19,27,3.2,Mushi Production
Kanokon: Manatsu no Dai Shanikusai Specials,27,1997-05-01,2016-02-14,9,5.85,GoHands
Kizuna Ichigeki,OVA,2007-04-04,2016-09-24,12,0.98,P.A.Works
Kojika Monogatari,13,2014-08-16,2016-07-22,26,0.55,P.A.Works
Kuragehime: Eiyuu Retsuden☆,21,2016-12-16,2016-01-16,26,3.68,Nippon Animation
Kurenai Sanshirou,OVA,2005-08-02,2016-05-09,23,4.0,Studio Live
Kyuukyoku Choujin R,2,2014-12-28,2016-05-11,10,0.89,Anime International Company Inc.
Little Lulu to Chicchai Nakama,2,1999-10-21,2016-12-02,13,8.05,Studio Hibari
Nihonbashi Koukashita R Keikaku,OVA,2005-01-07,2016-11-01,20,4.67,Anime International Company Inc.
Nurarihyon no Mago: Sennen Makyou Recaps,Movie,2005-05-26,2016-07-05,23,2.61,Studio Gokumi
Nyoro-n Churuya-san,43,2000-12-28,2016-09-09,11,5.94,Magic Bus
Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi,19,2000-05-07,2016-10-01,3,9.36,GoHands
Pokemon Ranger: Hikari no Kiseki,TV,2007-12-24,2016-09-08,19,9.72,Anime International Company Inc.
Pokemon: Pikachu no Dokidoki Kakurenbo,OVA,2015-09-26,2020-09-16,11,7.47,Magic Bus
Puni Puni☆Poemii,Movie,1998-01-10,2016-04-18,3,2.69,Pierrot 
Sengoku Musou SP: Sanada no Shou,11,1999-05-26,2016-12-08,22,3.03,GoHands
Takara-sagashi,TV,2004-04-28,2016-07-01,23,5.49,Kyoto Animation 
Tetsujin 28-gou,20,2014-07-10,2016-04-27,24,0.63,Studio Ghibli
Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,TV,2008-11-25,2016-04-03,11,7.13,Studio Live
Tottoko Hamtarou Movie 3: Ham Ham Grand Prix Aurora Tani no Kiseki - Ribon-chan Kiki Ippatsu!,TV,2012-07-25,2016-08-19,28,2.18,Pierrot 
Umineko no Naku Koro ni Specials,Movie,2002-10-06,2016-04-09,23,4.5,Nippon Animation
Wakusei Robo Danguard Ace,Movie,2016-08-23,2017-10-27,18,5.58,Magic Bus
X/1999,OVA,2002-08-17,2016-06-17,23,6.31,Nippon Animation
X²: Double X,11,2002-11-09,2016-02-21,27,1.47,Studio Live
Yatterman,TV,2007-03-23,2016-10-01,27,7.77,Anime International Company Inc.
Yu☆Gi☆Oh!: Hikari no Pyramid,TV,2000-02-24,2016-07-12,11,2.51,Studio Gokumi
Z/X: Ignition,19,2008-08-28,2016-10-02,15,3.28,Studio Hibari
Zettai Muteki Raijin-Oh (1992),OVA,2011-07-04,2016-06-24,10,7.55,Studio Hibari
.hack//G.U. Trilogy: Parody Mode,TV,2008-09-27,2016-10-22,18,5.2,Studio Hibari
Ai to Yuuki no Pig Girl Tonde Buurin,TV,1998-04-12,2016-04-27,6,7.72,GoHands
Alps no Shoujo Heidi: Alm no Yama-hen,40,2011-08-12,2016-05-17,27,0.68,Pierrot 
Amaenaide yo!!,OVA,2009-04-01,2016-11-21,7,0.26,Studio Nue
Bubblegum Crash,15,1997-06-04,2016-02-11,19,4.36,Imagin 
Burenai Ai de,35,1996-02-25,2016-04-27,26,2.35,Mushi Production
Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e Picture Drama,12,2006-12-02,2016-02-12,25,5.53,Mushi Production
Comic Party Revolution OVA,6,2013-07-22,2016-12-06,3,9.28,Imagin 
Crying Freeman,OVA,2007-09-04,2016-10-08,25,2.47,Mushi Production
Doraemon: It s Spring!,38,2007-09-21,2016-03-13,23,4.5,Pierrot 
Futatsu no Kurumi,OVA,2013-07-19,2016-01-19,22,6.13,Pierrot 
Ginga Tetsudou 999: Jikuu wo Koeta Energy no Tabi,Movie,2006-11-01,2016-10-25,1,1.93,GoHands
Happy Happy Clover,27,2000-03-13,2016-06-21,25,5.09,Studio Nue
Hitori no Shita: The Outcast,OVA,2013-05-02,2016-03-28,3,5.01,Studio Ghibli
Honoo no Alpenrose,TV,2010-09-01,2016-11-10,22,4.34,Mushi Production
Interlude,TV,2004-08-25,2016-07-06,17,1.9,GoHands
Meme Iroiro Yume no Tabi,42,2001-01-13,2016-01-28,15,7.77,Nippon Animation
Nekojiru Gekijou Jirujiru Original,Movie,1999-07-04,2016-04-21,1,7.66,P.A.Works
Nintama Rantarou Movie,OVA,2011-05-03,2016-01-19,2,7.74,Pierrot 
Nurarihyon no Mago: Jump Super Anime Tour Special,21,2015-09-23,2019-12-12,13,9.27,Studio Hibari
Pokemon XY&amp Z: Subete no Nazo wo Tokiakase!,2,1999-11-14,2016-06-20,11,3.27,Imagin 
Pucca (2006),TV,2001-07-09,2016-10-09,7,6.97,Mushi Production
RahXephon Specials,31,2014-10-19,2018-01-05,10,4.55,Pierrot 
Rizelmine,6,2009-08-04,2016-08-19,1,5.41,Studio Live
Rokka no Yuusha Picture Drama,38,1997-08-12,2016-03-14,13,1.56,Pierrot 
Ryuuseiki Gakusaver,TV,2009-05-11,2016-07-09,15,6.71,Nippon Animation
Samurai Giants,Movie,2008-03-26,2016-08-19,2,6.2,Kyoto Animation 
Sengoku Musou,Movie,1996-02-03,2016-10-25,28,8.2,P.A.Works
Sexy Commando Gaiden: Sugoiyo!! Masaru-san Specials,2,2007-03-28,2016-09-08,21,8.7,Studio Hibari
Sky Girls Specials,26,2003-06-07,2016-04-02,1,8.67,Studio Ghibli
Soukyuu no Fafner: Arcadian Memory,TV,2005-11-24,2016-09-01,2,2.61,Studio Hibari
Tottoko Hamtarou Hai!,10,2007-01-08,2016-11-20,22,4.5,Studio Hibari
Wakako-zake,OVA,2012-02-10,2017-08-05,2,2.65,Anime International Company Inc.
Yuki,TV,1998-05-24,2016-10-04,26,4.17,Nippon Animation
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,OVA,2005-04-01,2016-08-22,6,8.12,Studio Nue
Arrow Emblem Grand Prix no Taka,OVA,2007-06-13,2016-11-24,17,8.77,Pierrot 
Aru Hi Inu no Kuni kara Tegami ga Kite,34,2007-08-01,2016-02-12,5,1.0,Kyoto Animation 
Attacker You!,Movie,2013-01-10,2016-04-01,27,3.42,Magic Bus
Battle Athletess Daiundoukai,45,1999-09-13,2016-05-11,25,6.85,Pierrot 
Bus Gamer,TV,2002-05-05,2016-06-23,25,2.15,Pierrot 
Chou Tokkyuu Hikarian,TV,1996-10-13,2016-09-18,5,0.06,Magic Bus
Chouon Senshi Borgman,11,2006-11-25,2016-10-09,18,7.45,Magic Bus
Crusher Joe (1989),TV,2000-05-09,2016-06-28,5,6.16,Studio Gokumi
Fight Ippatsu! Juuden-chan!! OVA,8,2000-12-28,2016-08-21,11,2.9,Magic Bus
Fight Ippatsu! Juuden-chan!! Specials,5,2005-05-15,2016-04-07,11,7.33,Mushi Production
Fortune Quest L,38,2012-06-21,2016-08-22,7,3.76,Pierrot 
Ginga Patrol PJ,Movie,2005-04-21,2016-03-13,13,3.57,Imagin 
HenSemi (TV),Movie,2002-11-25,2016-08-28,5,2.7,GoHands
Honto ni Atta! Reibai Sensei,45,2013-07-25,2016-10-17,4,9.0,Kyoto Animation 
Koukaku no Pandora,TV,2011-02-14,2016-11-08,27,3.9,Pierrot 
Kujiratori,7,2009-06-05,2016-02-07,30,5.38,Magic Bus
La Seine no Hoshi,OVA,2008-06-19,2016-06-23,3,8.71,Studio Nue
Light Lag,TV,1996-05-06,2016-01-03,1,3.99,Studio Nue
Maicching Machiko-sensei,24,1998-12-10,2016-07-03,11,3.16,Imagin 
Maroko,2,1998-02-22,2016-08-06,25,1.97,Anime International Company Inc.
MONSTER GENERATiON,Movie,2010-08-10,2016-03-13,25,7.54,Mushi Production
Monster Strike,6,2011-04-23,2016-12-02,2,3.58,Mushi Production
Mottainai,12,2007-08-06,2016-01-12,22,8.75,Studio Nue
Ooyasan wa Shishunki!,5,2002-10-26,2016-06-02,21,2.79,GoHands
Ore ga Ojousama Gakkou ni &quot Shomin Sample&quot  Toshite Gets♥Sareta Ken Specials,47,2010-02-09,2016-05-24,10,3.41,Mushi Production
Otogi Story Tenshi no Shippo,OVA,2013-12-19,2017-09-28,28,2.06,GoHands
Phantom The Animation,Movie,2007-07-02,2016-09-25,20,8.17,Studio Ghibli
Pokemon Best Wishes! Season 2: Shinsoku no Genosect - Mewtwo Kakusei,TV,2010-05-15,2016-10-20,7,9.19,Mushi Production
Pokemon: Pikachu Koori no Daibouken,Movie,2013-08-13,2016-04-12,3,5.51,Imagin 
Pokemon: Pikachu no Fuyuyasumi (2000),OVA,2005-03-06,2016-11-09,27,3.72,Anime International Company Inc.
Rolling☆Girls,OVA,2009-11-06,2016-11-25,16,5.66,Studio Live
Shounen Hollywood: Holly Stage for 50,13,2002-08-21,2016-02-20,5,0.5,GoHands
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,21,2009-06-06,2016-05-27,10,2.03,Kyoto Animation 
Super Doll Licca-chan,TV,2002-02-14,2016-12-14,13,2.53,Imagin 
Take Your Way,39,2001-03-23,2016-07-15,30,6.82,Imagin 
Tatakae!! Ramenman,OVA,1996-08-01,2016-02-12,30,6.37,P.A.Works
Tensai Bakabon,Movie,2013-08-24,2017-12-11,11,4.87,Mushi Production
Tottoi,32,2003-07-12,2016-04-23,30,1.4,Studio Gokumi
UFO Robo Grendizer tai Great Mazinger,10,2003-10-01,2016-05-26,23,1.44,Mushi Production
Yume de Aetara,8,2010-01-20,2016-12-27,20,4.39,Studio Ghibli
Yuri Seijin Naoko-san (2012),0,2009-05-12,2016-10-01,13,3.81,Imagin 
Amagami SS+ Plus Picture Drama,OVA,1996-09-25,2016-08-19,9,4.59,Nippon Animation
Atama Yama,TV,2004-04-27,2016-08-21,30,6.38,Imagin 
Baldr Force Exe Resolution,44,2009-07-24,2016-01-05,27,8.0,Kyoto Animation 
Brave Beats,TV,2009-03-10,2016-06-16,13,7.93,Imagin 
Busou Shinki OVA,TV,1999-01-25,2016-06-28,18,5.38,Pierrot 
